Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Chad Henne,JAX,31,QB,1,0,1,-2,0,0,-2,-2.0,-2.0,0
Donnie Jones,PHI,36,P,16,0,1,0,0,0,0,0.0,0.0,1
Taiwan Jones,OAK,28,RB,13,0,1,-8,0,0,-8,-8.0,-0.6,0
Drew Kaser,SDG,23,P,16,0,1,0,0,0,0,0.0,0.0,1
Joe Kerridge,GNB,24,RB,8,0,1,0,0,0,0,0.0,0.0,0
Sean Mannion,LAR,24,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,1
Pat McAfee*,IND,29,K,16,0,1,0,0,0,0,0.0,0.0,0
Brandon McManus,DEN,25,K,16,0,1,6,0,0,6,6.0,0.4,0
Matt Moore,MIA,32,QB,4,3,1,-1,0,0,-1,-1.0,-0.3,1
Dontari Poe,KAN,26,NT,16,16,1,1,1,1,1,1.0,0.1,0
